Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Senior Data Analyst (Loyalty & Player Engagement),"$119,944 /yr (est.)","Why PlayStation?
PlayStation isn't just the Best Place to Play — it's also the Best Place to Work. Today, we're recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, PlayStation™Now, acclaimed PlayStation software titles from PlayStation Studios, and more.
PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.
The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.",4.0,"PlayStation Global
4.0","San Mateo, CA",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),-1
"Data Scientist - Tiktok Ads, Growth Marketing","$147,032 /yr (est.)","TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

The mission of TikTok Ads Platform is to connect global advertisers and users, advertisers of any industry and experience level are able to get suitable marketing solutions, then easily create, manage and optimize ads. The vision is to build an easy-to-understand, easy-to-use and powerful Ads Platform.

The Ad Growth team is responsible for driving advertising growth on TikTok platform. We achieve it by acquiring and retaining advertisers through brand marketing, performance marketing, organic growth initiatives and customer management. We build products that allow us to reach more audiences, improve targeting, optimize bidding, better measure incrementally.

Responsibilities:
We are looking for experienced Data Scientists to influence the product roadmaps for the Ad Growth team.
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.
TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at USRC@tiktok.com.",3.5,"TikTok
3.5","Mountain View, CA",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
"Senior Data Scientist (Open to remote work, except the following locations: SD, VT, and WV)","$150,000 /yr (est.)","Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and innovative technology, we strive to ensure that Nike gets the right product to the right place at the right time for the consumers!
WHO WE ARE LOOKING FOR
WHAT YOU WILL WORK ON
WHO YOU WILL WORK WITH",4.1,"Nike
4.1","Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
Principal Data Scientist - Engineering Analytics,"$170,000 /yr (est.)","When you join Verizon
Verizon is one of the world's leading providers of technology and communications services, transforming the way we connect across the globe. We're a diverse network of people driven by our shared ambition to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward - and you can too. Dream it. Build it. Do it here.
What you’ll be doing...
The Engineering Analytics Data Science Team has an immediate opening for a talented and experienced Principal Data Scientist with hands on expertise using large datasets to find opportunities for network operation and capital efficiency optimization and using models to test different courses of actions besides a strong interest in understanding the Telecom business model in particular and a passion for data in general. The responsibility of the expert filling up the role is to perform cross-disciplinary analysis, visualization and optimization of traditional, financial, spatial and network data to help solve complex business problems. The successful candidate must have strong experience using a variety of data mining methods, data tools, using, building and implementing predictive models, optimization algorithms, prescriptive models, as well as creating and running simulation. They must have a proven track record of driving business decisions by providing actionable insights based on data. They also must be comfortable working with a wide range of stakeholders and functional teams with the ability to frame problems out of ambiguity and unstructured information.",3.9,"Verizon
3.9",Nevada,10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),-1
Lead Data Scientist,"$133,311 /yr (est.)","Job Title:
Lead Data Scientist, Mobile Product
Requisition ID:
R013080
Job Description:
Your Mission is:
We are looking for a talented Lead Data Scientist to join our Mobile Analytics team. The team’s goal is to put science into product decisions and help to make a better game for both players and the company. You will be the technical leader for the product data science discipline, with the opportunity to take on a managerial role. First year responsibilities include:",3.3,"Activision
3.3","Santa Monica, CA",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),-1
"Data Scientist, Marketing Science Research: Creative Shop","$114,330 /yr (est.)","The Marketing Science Research, Creative Shop team is a quantitative research group focused on measuring the value and effectiveness of creative in advertising. The team designs and conducts research studies and leverages and develops new data sources to understand how people respond to creative content on digital platforms. The results are used to guide internal teams and are published as guidance and thought-leadership for the global advertising industry. This team helps develop world-class marketing strategies for both the world's largest advertisers and the millions of small businesses that use our platforms. In this role, you will pair your analytical skills with Meta’s unique data set to understand the role of creative in advertising. We seek an expert in data science, research methods, and developing working systems to support research. The ideal candidate will have a strong knowledge of statistical methods and machine learning, is focused on results, is self-motivated, and has a history of solving problems with data-driven solutions. You will work closely with our global Creative Strategists to inform scalable strategies for creative development that achieve our clients’ business objectives. You will partner with teams in all major global markets, working to develop region-specific understanding when required. You’re a doer, who loves to ship ideas that will impact businesses of all shapes and sizes on Facebook, Instagram, Messenger, and WhatsApp.
















Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",4.3,"Meta
4.3","San Francisco, CA",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Data Scientist - Machine Learning,"$147,696 /yr (est.)","About Us
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on LinkedIn, Twitter and on our Blog.
About the Role
The Central Science team focuses on understanding the long-term and causal impact of actions taken by viewers, creators and Twitch. We discover insights and build prediction and causal inference tools to make these knowledge more accessible for teams across Twitch. We support a diverse set of customers including executive leaders, product managers and data staff. We are an interdisciplinary team with experts in data science, statistics, and economics.",4.0,"Twitch
4.0","San Francisco, CA",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Scientist 2 – Pricing - Remote,-1,"Job Description
Nordstrom is a specialty retailer offering the very best in fashion and customer service since 1901. We live by five simple values that guide how we work together day-to-day and how we deliver data science & analytics products. We are customer-obsessed, owners at heart, curious and ever-changing, we extend ourselves to our peers and our customers, and we’re here to win!
Our Pricing Data Science & Analytics team is re-imagining Nordstrom’s core pricing capabilities & developing innovative data products to drive value for our customers. As an integral part of the team, the Data Scientist 2 – Pricing will lead our research in the space and implement advanced machine learning & optimization techniques across markdowns, promotions and more. The ideal candidate is a relentless problem solver with strong technical skills and a track record creating innovating, robust data solutions end-to-end. They should be energized by the chance to solve open-ended, high impact research questions and thrive when collaborating with both technical and non-technical partners.

Colorado: $106,500-$159,700, Nevada: $106,500-$159,700",3.7,"Nordstrom Inc
3.7",Remote,10000+ Employees,1901,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),-1
"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)","$199,000 /yr (est.)","Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
NIKE is a technology company. From our flagship website and five-star mobile apps to developing products, managing big data and providing leading edge engineering and systems support, our teams at NIKE Global Technology exist to revolutionize the future at the confluence of tech and sport. We invest and develop advances in technology and employ the most creative people in the world, and then give them the support to constantly innovate, iterate and serve consumers more directly and personally. Our teams are innovative, diverse, multidisciplinary and collaborative, taking technology into the future and bringing the world with it.",4.1,"Nike
4.1","Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
"Data Scientist, Operations Data Science","$95,000 /yr (est.)","Note: Google’s hybrid workplace includes remote and in-office roles. By applying to this position you will have an opportunity to share your preferred working location from the following:

In-office locations: Mountain View, CA, USA.
Remote location(s): United States.
Minimum qualifications:
Master's degree in Operations Research, Industrial Engineering, Statistics, related field, or equivalent practical experience.
2 years of relevant work experience (e.g., as a data scientist) or equivalent. Analytical engagements outside class work while at school can be included.
Experience with statistical software (e.g., R, Python) and database languages (e.g., SQL)



Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",4.5,"Google
4.5","Mountain View, CA",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Data Scientist - 100% Remote,"$162,500 /yr (est.)","We have an immediate need for an experienced Data Scientist. This permanent position is 100% remote and offers competitive compensation (that will depend on level of experience) as well as an excellent benefits package.
Target Skills and Experience:
5+ years of Data Analytics experience while working as a Data Scientist.
Strong ability to analyze large amounts of data to discover trends and patterns and build predictive models and machine-learning algorithms to support decision making and quality improvement.
Strong ability to evaluate predictive models, including those developed by vendors or other data scientists, and produce actionable insights, strategies, and recommendations to business challenges.
Healthcare knowledge including hands-on experience working with Healthcare Provider and Patient data for analytics purposes.",-1,BlueSky Technology Solutions,Remote,-1,-1,-1,-1,-1,-1,-1
"Senior Data Scientist, Product Intelligence","$150,110 /yr (est.)","Work Styles at Zoom
In most cases, you will have the opportunity to choose your preferred working location from the following options when you join Zoom: in-person, hybrid or remote. Visit this page for more information about
Zoom's Workstyles
.
Senior Data Scientist, Product Intelligence
FULL TIME, US-REMOTE

The Data Team at Zoom brings data closer to the decision. We know that to deliver customer happiness we need to build best in class products. We support this by empowering Product with behavioral insights to help them build better products. While providing these insights, we also need to ensure that we’re meeting the consent, privacy, and regulatory needs of hundreds of millions of users worldwide.
This role will be part of the Product Intelligence team and will be working closely with the Whiteboard product team. Whiteboard is a powerful virtual hub for real-time and asynchronous collaboration, creating more engaging and efficient meeting experiences. Any team, from enterprise to education, can use the Zoom Whiteboard experience to create, annotate, and share ideas from any device whether you’re in a Zoom meeting or not. This role will work closely with Product, Engineering and the Data Engineering team to help ensure the success of the product. The ideal candidate will have experience partnering with Product to define success metrics and define data requirements to ensure we are set up for success when the product or feature launches. The ideal candidate will have experience measuring product impact using causal inference and A/B testing. The individual will play a key role in providing insights around product usage beyond just the “What?” but to answer the “Why?” behind user behavior. Our team values diversity, collaboration, creativity and most importantly - having fun! Come join us!
$97,920.00 USD
$181,170.00 USD
#LI-Remote",4.4,"Zoom Video Communications, Inc.
4.4","San Francisco, CA",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1
"Lead Data Scientist, Marketing Analytics","$125,496 /yr (est.)","Data, Research & Insights
Data Science
Spotify is looking for an extraordinary candidate to join the Marketing and Consumer Insights (MCI) team to support Spotify’s Marketing organization in their pursuit of building a globally loved brand and bringing the next generation of fans to Spotify.
Location
New York or Remote Americas
Job type
Permanent
The primary duties of this role will be to lead the Marketing Analytics team that provides analytical support for our global Freemium Marketing team, leading the measurement and evaluation of our marketing activities to drive greater understanding on our ability to impact brand health and ensure we continuously improve the effectiveness of our marketing investments.",4.2,"Spotify
4.2","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Scientist (University Graduate),"$151,000 /yr (est.)","Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and model job search related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data.

Responsibilities
Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring of data science products",4.4,"Indeed
4.4",Remote,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1
Computer Engineer (Data Scientist),"$140,014 /yr (est.)","Help
This job is open to
Career transition (CTAP, ICTAP, RPL)
Federal employees who meet the definition of a ""surplus"" or ""displaced"" employee.
Federal employees - Excepted service
Current excepted service federal employees.
Individuals with disabilities
Military spouses",3.5,"US Internal Revenue Service
3.5","Fresno, CA",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
Senior Data Scientist,"$181,500 /yr (est.)","Your Opportunity

The Schwab Asset Management, Sales Analytics team is embedded within the Sales team to provide close alignment and support to Sales. We are salespeople using analytic tools and techniques to drive enhanced sales outcomes. One’s contribution can be seen daily in the effectiveness of the sales team’s outreach, marketing campaigns, and deepening of existing client relationships. We are looking for a highly-motivated, self-driven Data Scientist to help deliver actionable opportunities, insights, and leads to the Sales Team.
What you are good at

The Sr Manager, Data Scientist, SAM Sales Analytics, will be primarily responsible for developing, tuning, and socializing targeting models with the Sales team and leadership, as well as, building out our prospect and client segmentation strategies across the different channels. This role will help shape the infrastructure and framework of an established and evolving data environment within SAM, to support machine learning, data modeling and advanced analytics.",4.0,"Charles Schwab
4.0","Lone Tree, CO",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1
"Data Scientist, Infrastructure","$162,533 /yr (est.)","About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
We're looking for an analytical thinker to help us understand how our infrastructure costs scale with our business. You will work closely with the Infrastructure Governance group and a cross functional team of engineering, product and finance stakeholders to increase visibility into our infrastructure related trends and to suggest actions we can take to make it more predictable over time. The ideal candidate will possess both strong technical and analytical skills; be able to communicate technical details, at a level appropriate for the audience.",4.1,"Pinterest
4.1","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),-1
Principal Data Scientist - Network Planning for Airlines,-1,"Summary of the role:
Where to fly, when to fly, what to fly...
The art of Network Planning and Scheduling is at the heart of Airlines. It defines what an Airline intends to fly for a specific future period including routes, timing, aircraft assignments, and rotations. At the same time, it must satisfy operations constraints (crew, aircraft maintenance, airport curfew, passenger types (business, leisure, booking habits) and factor uncertain future environment (competition, pandemic evolution).
At Amadeus, we want to re-invent the future of Network Planning with ""Sky Suite""; the next generation optimization, simulation, and data analytics solutions to help airlines improve their efficiency and profitability.

Are you the next we are looking for?",4.0,"Amadeus
4.0",Remote,10000+ Employees,1987,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1
"Data Scientist, Marketing Analytics","$120,445 /yr (est.)","Are you interested in working for a Fortune 100 retailer? Do you want to be able to apply your analytical knowledge and experience to help solve constantly changing business and customer facing opportunities?

As a Data Scientist on the Business Analytics Team, you will support Marketing Measurement, identify buying behaviors and lifestyle characteristics of customers, measure the statistically significant purchasing behavior change at the product and customer segment level, develop sales forecasting methodologies, conduct A/B tests, and work with large cloud based datasets.

Additional responsibilities include:
providing research-based consultation and recommendations regarding the personalization of customer interfaces with Publix
developing and implementing scalable Data Science Analytical Solutions that rely on machine learning and artificial intelligence to automate and optimize key business processes and help improve efficiency and financial results",3.8,"Publix
3.8","Lakeland, FL",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),-1
Sr. Data Scientist,"$134,274 /yr (est.)","Why PlayStation?
PlayStation isn't just the Best Place to Play — it's also the Best Place to Work. Today, we're recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, PlayStation™Now, acclaimed PlayStation software titles from PlayStation Studios, and more.
PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.
The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.",4.0,"PlayStation Global
4.0","San Mateo, CA",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),-1
Data Scientist,"$111,199 /yr (est.)","Our Company:
At Cerebral, we're on a mission to improve access to long-term, high-quality mental health care for all. We believe that everyone everywhere deserves to get the care they need. And how are we doing this? By making care convenient and accessible and tackling the stigma that surrounds mental illness.
Since launching in January 2020, we have gone from a team of 5 to over 3,000 team members across the United States and in the United Kingdom working hand-in-hand to transform access to high-quality mental health care at scale. Our team will not stop building, growing, and iterating until everyone, everywhere can access high-quality mental health care without the high cost, long wait times, and stigma. Simone Biles, world champion gymnast, and mental health advocate joined Cerebral as our Chief Impact Officer to help further our mission.
We are the fastest mental health company ever to achieve unicorn status, having raised over $462 million and achieving a valuation of $4.8 billion in under two years. Cerebral's investors include SoftBank Venture Fund 2, Silver Lake, Access Industries, Bill Ackman, Chris Burch, WestCap, and Oak HC/FT.",3.4,"Cerebral
3.4","San Francisco, CA",1001 to 5000 Employees,2020,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
Data Scientist - Intermediate,"$107,163 /yr (est.)","The Environment Modeling Team at The Climate Corporation is seeking a highly motivated geospatial data analyst with excellent Python coding skills to join our team. The position is within the science R&D team that leverages modeling, big data, and cloud computing to address scientific challenges in precision agriculture. In this position, you will build pipelines for geospatial data, and query, process, and analyze large geospatial datasets. As part of our diverse, highly dynamic group, you will work side-by-side with a team of data scientists, statisticians, soil scientists, and other geospatial scientists.

What you will do:
Query geospatial data from multiple sources
Build geospatial data pipelines for downstream model development
Clean, explore, manipulate, and analyze large geospatial datasets and develop derived features, e.g., topographical features from elevation datasets",4.1,"Bayer
4.1","San Francisco, CA",10000+ Employees,1863,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
Remote Sensing Data Scientist - $150k/yr,"$145,000 /yr (est.)","The Remote Sensing Data Scientist will design and test algorithms, conduct prototyping to evaluate possible scenarios leveraging computational and statistical techniques for the development of novel approaches for remotely sensed data.
Qualifications
o a PhD and 5 years of academic or industrial experience OR
o Masters degree and 9 years of academic or industrial experience
Remote Sensing : You are an expert in working with remotely sensed images. You have deep understating of images from different satellite constellations and experience extracting insights from satellite imagery.
Programming: You are proficient in Python or other high level programming language. You are also capable of writing clean code.",-1,Bayer,"Creve Coeur, MO",-1,-1,-1,-1,-1,-1,-1
"Staff Data Scientist, Platform","$150,200 /yr (est.)","To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
We are looking for an experienced Data Scientist to support the Platform product area at Slack. The Platform ecosystem is a critical component of Slack’s strategy to become the place where work happens. It enables users to truly customize Slack and integrate their everyday tools to streamline and speed up work!

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.
As a federal contractor, Salesforce is required to verify that all US-based employees are fully vaccinated against COVID-19. If you receive an offer and are unable to get vaccinated for religious or medical reasons, you may request a reasonable accommodation.",4.6,"Slack
4.6","Denver, CO",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1
"Staff Data Scientist, Platform","$150,200 /yr (est.)","To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.
As a federal contractor, Salesforce is required to verify that all US-based employees are fully vaccinated against COVID-19. If you receive an offer and are unable to get vaccinated for religious or medical reasons, you may request a reasonable accommodation.",4.5,"Salesforce
4.5","Denver, CO",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),-1
Data Scientist,"$117,000 /yr (est.)","Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and state-of-the-art technology, the team strives to ensure that Nike gets the right product to the right place at the right time for the consumers.",4.1,"Nike
4.1","Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
AWS Data Scientist,"$167,500 /yr (est.)","PhD or equivalent Master's Degree plus 4+ years of experience in Computer Science, Data Science, Machine Learning, Statistics, Mathematics, Operations Research, Economics or related field
2+ years of experience using Python, R or other traditional programming language is required
2+ years of experience in SQL
Job summary
Amazon Web Services’ Marketing Science team is looking for an applied scientist with strong technical skills in machine learning and forecasting to drive methodology improvements and tool inventions for marketing planning, goal tracking, targeting and segmentation, while developing our long term roadmap.

The successful candidate will be a hands-on self-starter, comfortable with ambiguity, humble to seek feedback and learn from peers (scientists, economists, marketing practitioners), bold to think big, has solid attention to detail and believes in challenging themselves to raise the bar continuously. The scientist will develop production models using geographical, macro-economic and customer-level panel data on forecasting, and account or segment based marketing. They will work closely with media and portfolio teams to understand business needs and with an engineering team to productionize solutions.

This role requires an individual with strong quantitative modeling skills and the ability to apply statistical/machine learning, econometric, and coding skills.

The candidate should have strong communication skills to work closely with stakeholders to translate business needs into methodology and data-driven findings into actionable insights. The successful candidate will be a self-starter comfortable with ambiguity, with strong attention to detail, and ability to work in a fast-paced and ever-changing environment.

Key job responsibilities
About the team
Inclusive Team Culture

Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life balance. It isn’t about how many hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

For employees based in Colorado, this position starts at $142-193k/yr. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon’s internal or external careers site.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.8,"Amazon Web Services, Inc.
3.8",Remote,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Data Scientist - North America,-1,"Applies developed subject matter knowledge to solve common and complex business issues within established guidelines and recommends appropriate alternatives. Works on problems of diverse complexity and scope. May act as a team or project leader providing direction to team activities and facilitates information validation and team decision making process. Exercises independent judgment within generally defined policies and practices to identify and select a solution. Ability to handle most unique situations. May seek advice in order to make decisions on complex business issues.
Responsibilities
Mines data using modern tools and programming languages.
Defines and implements models to uncover patterns and predictions creating business value and innovation.
Works with the business to understand the business domain perspective.",4.2,"HP
4.2",California,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
"Data Scientist, Freemium Innovation","$139,731 /yr (est.)","Data, Research & Insights
Data Science
We’re looking for a Data Scientist to join a team leading efforts to further expand our customer offering for Spotify.
Location
New York or Remote Americas
Job type
Permanent
With a focus on innovation projects, you will be part of a small, agile, and constantly evolving team, working to identify and execute upon growth opportunities that meet our ambitious commercial and user experience goals.",4.2,"Spotify
4.2","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1
Lead Data Scientist - Customer Data Science,"$153,275 /yr (est.)","Data scientists at Disney Streaming Services are the insights and modeling partners for the growth, content, marketing, product, and engineering teams at Disney+, Hulu and ESPN+. They use data to empower decision-makers with information, predictions, and insights that ultimately influence the experiences of millions of users worldwide. Scientists on the team build models, perform statistical analysis, and create visualizations to provide scalable, persistent capability that is iteratively improved through direct interaction with cross-functional business partners.
WHAT YOU'LL DO
Modeling: Design, build and improve machine learning models. Work end to end from data collection, feature generation and selection, algorithm development, forecasting, visualization and communicating of model results. Collaborate with engineering to productionize models.
Drive experimentation to test impact of model based optimization.",3.9,"Hulu
3.9","Santa Monica, CA",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),-1
Data Scientist - Machine Learning,"$147,696 /yr (est.)","About Us
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on LinkedIn, Twitter and on our Blog.
About the Role
The Central Science team focuses on understanding the long-term and causal impact of actions taken by viewers, creators and Twitch. We discover insights and build prediction and causal inference tools to make these knowledge more accessible for teams across Twitch. We support a diverse set of customers including executive leaders, product managers and data staff. We are an interdisciplinary team with experts in data science, statistics, and economics.",4.0,"Twitch
4.0","San Francisco, CA",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,-1
